,subject_id
261,DEV006
258,DEV008
174,DEV013
173,DEV014
157,DEV015
6,DEV016
25,DEV017
0,DEV018
28,DEV019
3,DEV020
27,DEV021
179,DEV022
150,DEV023
153,DEV024
29,DEV026
1,DEV027
24,DEV028
4,DEV029
259,DEV030
238,DEV031
132,DEV033
133,DEV034
239,DEV036
257,DEV037
236,DEV038
170,DEV040
141,DEV041
12,DEV042
39,DEV043
41,DEV044
11,DEV045
142,DEV046
166,DEV047
149,DEV048
161,DEV049
117,DEV051
272,DEV052
249,DEV053
255,DEV054
266,DEV055
121,DEV056
103,DEV057
127,DEV058
95,DEV059
125,DEV060
244,DEV062
277,DEV063
246,DEV065
97,DEV066
129,DEV067
101,DEV068
146,DEV070
163,DEV071
30,DEV072
21,DEV073
16,DEV074
35,DEV075
159,DEV076
147,DEV077
168,DEV078
144,DEV079
18,DEV080
33,DEV081
158,DEV082
148,DEV083
145,DEV084
164,DEV085
32,DEV086
19,DEV087
40,DEV088
15,DEV089
274,DEV090
128,DEV093
126,DEV094
99,DEV095
242,DEV096
279,DEV097
269,DEV099
51,DEV100
204,DEV102
192,DEV103
194,DEV104
203,DEV105
59,DEV106
50,DEV107
62,DEV108
45,DEV109
227,DEV110
209,DEV111
78,DEV112
93,DEV113
94,DEV114
77,DEV115
210,DEV116
225,DEV117
215,DEV118
223,DEV119
213,DEV120
224,DEV121
91,DEV122
80,DEV123
79,DEV124
214,DEV127
226,DEV128
211,DEV129
60,DEV130
48,DEV131
188,DEV132
208,DEV133
205,DEV134
191,DEV135
58,DEV139
82,DEV140
76,DEV141
228,DEV144
221,DEV145
84,DEV147
87,DEV149
180,DEV150
201,DEV151
69,DEV152
53,DEV153
52,DEV154
71,DEV155
199,DEV156
181,DEV157
197,DEV158
187,DEV159
184,DEV161
68,DEV164
185,DEV166
196,DEV167
182,DEV168
200,DEV169
74,DEV170
231,DEV172
217,DEV173
218,DEV174
75,DEV179
219,DEV180
88,DEV182
73,DEV183
216,DEV187
229,DEV188
55,DEV191
186,DEV192
195,DEV193
183,DEV195
66,DEV197
70,DEV199
115,DEV200
131,DEV201
134,DEV206
139,DEV208
110,DEV209
178,DEV210
2,DEV215
177,DEV217
154,DEV220
22,DEV222
8,DEV223
5,DEV224
26,DEV225
175,DEV228
136,DEV230
111,DEV231
233,DEV232
264,DEV233
262,DEV234
234,DEV235
109,DEV236
137,DEV237
114,DEV238
135,DEV239
31,DEV240
20,DEV241
160,DEV244
17,DEV246
34,DEV247
278,DEV251
124,DEV252
100,DEV253
96,DEV254
275,DEV256
247,DEV257
265,DEV258
252,DEV259
271,DEV260
250,DEV261
105,DEV262
118,DEV263
120,DEV264
267,DEV267
245,DEV268
273,DEV269
13,DEV270
38,DEV271
171,DEV272
165,DEV275
10,DEV277
43,DEV282
37,DEV285
122,DEV290
102,DEV291
253,DEV292
268,DEV293
270,DEV294
107,DEV296
98,DEV298
189,DEV300
61,DEV302
47,DEV303
63,DEV305
206,DEV306
190,DEV307
202,DEV308
212,DEV312
