subjectID,wave,excluded_run,ROC1,ROC2,ROC3,ROC4,SST1,WTP1,WTP2,WTP3,WTP4
DEV001,1,FALSE,2.1,0.7,2.1,2.1,1,1.1,0,0,0
DEV004,1,FALSE,0,0.7,0,0,1,0,0,0,0
DEV005,1,FALSE,0,0.7,0,0,1.9,5.4,0,0,0
DEV006,1,FALSE,0.7,0,0,1.4,7.5,0,0,0,1.1
DEV007,1,FALSE,5.7,0.7,4.3,2.8,3.3,NA,NA,NA,NA
DEV008,1,FALSE,0,0,6.4,3.5,0,0,0,0,0
DEV009,1,FALSE,0,0,0.7,1.4,0.5,1.1,0,1.1,1.1
DEV010,1,FALSE,0,0,0,0,0,2.2,0,0,0
DEV011,1,FALSE,0,3.5,8.5,NA,0.9,1.1,NA,NA,NA
DEV011,1,TRUE,NA,NA,NA,12.8,NA,NA,18.3,16.1,14
DEV012,1,FALSE,0,2.8,1.4,0.7,1.4,3.2,4.3,0,0
DEV013,1,FALSE,5,4.3,0.7,3.5,2.8,5.4,4.3,0,4.3
DEV014,1,FALSE,0,0,0,0,0,1.1,0,0,0
DEV015,1,FALSE,0,0.7,2.1,0,0.5,0,0,2.2,0
DEV016,1,FALSE,0.7,5,0.7,2.8,0,1.1,0,0,0
DEV017,1,FALSE,0,0,0,0,0,0,0,0,0
DEV018,1,FALSE,2.8,3.5,0.7,0.7,2.4,0,0,0,0
DEV019,1,FALSE,0,0,0,0,0,0,0,0,0
DEV020,1,FALSE,NA,NA,NA,NA,5.2,NA,NA,NA,NA
DEV020,1,TRUE,11.3,31.9,24.1,41.1,NA,45.2,20.4,37.6,35.5
DEV021,1,FALSE,0,0,0,0.7,0,0,0,0,0
DEV022,1,FALSE,0.7,8.5,2.1,10,4.2,1.1,0,0,1.1
DEV023,1,FALSE,0,0,0.7,7.1,1.4,4.3,1.1,NA,8.6
DEV023,1,TRUE,NA,NA,NA,NA,NA,NA,NA,18.3,NA
DEV024,1,FALSE,0,0,0,0,0,0,0,0,0
DEV025,1,FALSE,0,2.1,0,0.7,0,2.2,8.6,1.1,0
DEV026,1,FALSE,0,0,0,0,0,0,0,0,0
DEV027,1,FALSE,1.4,0.7,2.8,0,0,0,0,0,0
DEV028,1,FALSE,1.4,2.8,5.7,7.1,0,7.5,NA,3.2,9.7
DEV028,1,TRUE,NA,NA,NA,NA,NA,NA,10.8,NA,NA
DEV029,1,FALSE,1.4,0.7,9.9,1.4,0.5,0,5.4,3.2,5.4
DEV030,1,FALSE,0,0,1.4,0,0,0,0,0,0
DEV031,1,FALSE,0,0,0,0,0,0,0,0,0
DEV033,1,FALSE,0,5,5,0.7,0.5,0,3.2,0,0
DEV034,1,FALSE,0,0,0,0,0,0,0,0,0
DEV035,1,FALSE,0,0,0,0,0,0,0,0,0
DEV036,1,FALSE,0,0,0,0,0,0,0,0,0
DEV037,1,FALSE,NA,6.4,NA,1.4,0.9,1.1,1.1,2.2,4.3
DEV037,1,TRUE,10.6,NA,18.4,NA,NA,NA,NA,NA,NA
DEV038,1,FALSE,1.4,0,0,0,0,0,0,3.2,0
DEV039,1,FALSE,3.5,4.3,4.3,8.5,0.5,3.2,0,2.2,2.2
DEV040,1,FALSE,0,0,0,0.7,2.4,7.5,4.3,4.3,4.3
DEV041,1,FALSE,0,0,0,0,0,0,0,0,0
DEV042,1,FALSE,2.1,5,6.4,NA,0.5,0,6.5,8.6,2.2
DEV042,1,TRUE,NA,NA,NA,15.6,NA,NA,NA,NA,NA
DEV043,1,FALSE,0,4.3,0,0,0,0,0,0,0
DEV044,1,FALSE,0,0,0,0,0,0,0,0,0
DEV045,1,FALSE,0,0,0.7,0,0,0,0,0,0
DEV046,1,FALSE,0,0,0,0,4.2,1.1,0,0,2.2
DEV047,1,FALSE,2.1,3.5,NA,NA,1.4,8.6,7.5,9.7,8.6
DEV047,1,TRUE,NA,NA,10.6,12.8,NA,NA,NA,NA,NA
