subjectID,wave,run1,run2,run3,run4
DEV001,1,1,1,1,1
DEV001,2,0,0,0,0
DEV002,1,1,1,0,0
DEV002,2,0,0,0,0
DEV004,1,1,1,1,1
DEV004,2,1,1,1,1
DEV005,1,1,1,1,1
DEV005,2,1,1,1,1
DEV006,1,1,1,1,1
DEV006,2,0,0,0,0
DEV007,1,1,1,1,2
DEV007,2,0,0,0,0
DEV008,1,2,1,1,1
DEV008,2,1,1,1,1
DEV009,1,1,1,1,1
DEV009,2,1,1,1,0
DEV010,1,1,1,1,1
DEV010,2,1,1,1,1
DEV011,1,1,1,1,1
DEV011,2,1,1,1,1
DEV012,1,1,1,1,1
DEV012,2,1,1,1,1
DEV013,1,1,1,1,1
DEV013,2,1,1,1,1
DEV014,1,1,1,1,1
DEV014,2,1,1,1,1
DEV015,1,1,1,1,1
DEV015,2,1,1,1,1
DEV016,1,1,1,1,1
DEV016,2,1,1,1,1
DEV017,1,1,1,1,1
DEV017,2,1,1,1,1
DEV018,1,1,1,1,1
DEV018,2,1,1,1,1
DEV019,1,1,1,1,1
DEV019,2,1,1,1,1
DEV020,1,1,1,1,1
DEV020,2,0,1,0,0
DEV021,1,1,1,1,1
DEV021,2,1,1,1,1
DEV022,1,1,1,1,1
DEV022,2,0,0,0,0
DEV023,1,1,1,1,1
DEV023,2,1,1,1,1
DEV024,1,1,1,1,1
DEV024,2,1,1,1,1
DEV025,1,1,1,1,1
DEV025,2,1,1,1,1
DEV026,1,1,1,1,1
DEV026,2,1,1,1,1
DEV027,1,1,1,1,1
DEV027,2,1,1,1,1
DEV028,1,1,1,1,1
DEV028,2,1,1,1,0
DEV029,1,1,1,1,1
DEV029,2,1,1,1,1
DEV030,1,1,1,1,1
DEV030,2,1,1,1,1
DEV031,1,1,1,1,1
DEV031,2,1,1,1,1
DEV032,1,1,1,1,1
DEV032,2,0,0,0,0
DEV033,1,1,1,1,1
DEV033,2,1,1,1,1
DEV034,1,1,1,1,1
DEV034,2,0,0,0,0
DEV035,1,1,1,1,1
DEV035,2,1,1,1,1
DEV036,1,1,1,1,1
DEV036,2,1,1,1,1
DEV037,1,1,1,1,1
DEV037,2,0,0,0,0
DEV038,1,1,1,1,1
DEV038,2,1,1,1,1
DEV039,1,1,1,1,1
DEV039,2,1,1,1,1
DEV040,1,1,1,1,1
DEV040,2,1,1,1,1
DEV041,1,1,1,1,1
DEV041,2,1,1,1,1
DEV042,1,1,1,1,1
DEV042,2,1,1,1,1
DEV043,1,1,1,1,1
DEV043,2,1,1,1,1
DEV044,1,1,1,1,1
DEV044,2,1,1,1,1
DEV045,1,1,1,1,1
DEV045,2,0,0,0,0
DEV046,1,1,1,1,1
DEV046,2,1,1,1,1
DEV047,1,1,1,1,1
DEV047,2,1,1,1,1
DEV048,1,1,1,1,0
DEV048,2,1,1,1,1
DEV049,1,1,1,1,1
DEV049,2,1,1,0,0
DEV050,1,1,1,1,1
DEV050,2,1,1,1,1
DEV051,1,1,1,1,1
DEV051,2,1,1,1,1
DEV052,1,1,1,1,1
DEV052,2,1,1,1,1
DEV053,1,1,1,1,1
DEV053,2,1,1,1,1
DEV054,1,1,1,1,1
DEV054,2,1,1,1,1
DEV055,1,1,1,1,1
DEV055,2,2,1,1,1
DEV056,1,1,1,1,1
DEV056,2,1,1,1,1
DEV057,1,1,1,1,1
DEV057,2,1,1,1,1
DEV058,1,1,1,1,1
DEV058,2,1,1,1,1
