subjectID,run1,run2,run3,run4
DEVDEV001,2,1,0,0
DEVDEV002,5,0,NaN,NaN
DEVDEV004,1,0,0,2
DEVDEV005,0,0,0,0
DEVDEV006,3,0,2,2
DEVDEV007,1,0,0,0
DEVDEV008,1,0,0,0
DEVDEV009,0,0,0,0
DEVDEV010,4,1,1,0
DEVDEV011,3,0,0,0
DEVDEV012,0,0,0,0
DEVDEV013,0,2,3,2
DEVDEV014,0,0,0,0
DEVDEV015,6,1,4,1
DEVDEV016,8,3,1,3
DEVDEV017,0,2,1,1
DEVDEV018,0,0,0,0
DEVDEV019,2,0,0,1
DEVDEV020,1,0,0,1
DEVDEV021,0,1,0,0
DEVDEV022,5,2,3,12
DEVDEV023,0,0,0,0
DEVDEV024,0,0,0,0
DEVDEV025,0,0,0,0
DEVDEV026,1,0,0,0
DEVDEV027,0,0,0,0
DEVDEV028,2,0,1,0
DEVDEV029,2,2,1,2
DEVDEV030,0,0,0,0
DEVDEV031,1,0,1,3
DEVDEV032,6,2,1,2
DEVDEV033,1,1,1,1
DEVDEV034,0,2,3,0
DEVDEV035,0,0,1,0
DEVDEV036,2,0,0,0
DEVDEV037,2,20,20,20
DEVDEV038,1,0,0,3
DEVDEV039,0,0,0,0
DEVDEV040,0,0,0,0
DEVDEV041,0,0,0,0
DEVDEV042,1,1,2,1
DEVDEV043,0,0,0,0
DEVDEV044,0,0,0,0
DEVDEV045,2,1,2,1
DEVDEV046,1,0,0,0
DEVDEV047,20,20,20,20
DEVDEV048,4,1,1,0
DEVDEV049,9,12,8,5
DEVDEV050,0,0,0,0
DEVDEV051,2,1,1,0
DEVDEV052,0,0,0,0
DEVDEV053,1,0,0,0
DEVDEV054,4,2,2,0
DEVDEV055,0,0,3,0
DEVDEV056,0,0,0,0
DEVDEV057,1,0,0,0
DEVDEV058,1,1,0,3
DEVDEV059,0,0,0,0
DEVDEV060,0,0,0,0
DEVDEV061,0,0,0,0
DEVDEV062,2,1,0,3
DEVDEV063,0,1,0,2
DEVDEV064,0,0,0,0
DEVDEV065,1,0,0,1
DEVDEV066,0,1,0,0
DEVDEV067,1,0,1,0
DEVDEV068,2,1,0,1
DEVDEV069,2,1,0,0
DEVDEV070,1,2,0,3
DEVDEV071,0,0,0,0
DEVDEV072,1,3,1,0
DEVDEV073,0,0,0,0
DEVDEV074,0,0,1,0
DEVDEV075,0,0,0,0
DEVDEV076,0,0,0,0
DEVDEV077,4,2,2,4
DEVDEV078,0,0,2,1
DEVDEV079,0,0,1,0
DEVDEV080,1,1,0,0
DEVDEV081,0,0,0,0
DEVDEV082,2,5,0,0
DEVDEV083,0,0,0,0
DEVDEV084,1,0,0,0
DEVDEV085,0,0,0,0
DEVDEV086,0,0,0,0
DEVDEV087,0,2,2,5
DEVDEV088,1,0,0,0
DEVDEV089,1,0,1,0
DEVDEV090,1,0,0,0
DEVDEV091,0,0,0,0
