subjectID,wave,run1,run2,run3,run4
DEV001,1,48,48,48,48
DEV001,2,,,,
DEV002,1,48,48,48,48
DEV002,2,,,,
DEV004,1,48,48,48,48
DEV004,2,48,48,48,48
DEV005,1,48,48,48,48
DEV005,2,48,48,48,48
DEV006,1,48,48,48,48
DEV006,2,,,,
DEV007,1,48,48,48,48
DEV007,2,,,,
DEV008,1,48,48,48,48
DEV008,2,48,48,48,48
DEV009,1,48,48,48,48
DEV009,2,48,48,48,48
DEV010,1,48,48,48,48
DEV010,2,48,48,48,48
DEV011,1,48,48,48,48
DEV011,2,48,48,48,48
DEV012,1,48,48,48,48
DEV012,2,48,48,48,48
DEV013,1,48,48,48,48
DEV013,2,48,48,48,48
DEV014,1,48,48,48,48
DEV014,2,48,48,48,48
DEV015,1,48,48,48,48
DEV015,2,48,48,48,48
DEV016,1,48,48,48,48
DEV016,2,48,48,48,48
DEV017,1,48,48,48,48
DEV017,2,48,48,48,48
DEV018,1,48,48,48,48
DEV018,2,48,48,48,48
DEV019,1,48,48,48,48
DEV019,2,48,48,48,48
DEV020,1,48,48,48,48
DEV020,2,48,48,48,48
DEV021,1,48,48,48,48
DEV021,2,48,48,48,48
DEV022,1,48,48,48,48
DEV022,2,,,,
DEV023,1,48,48,48,48
DEV023,2,48,48,48,48
DEV024,1,48,48,48,48
DEV024,2,48,48,48,48
DEV025,1,48,48,48,48
DEV025,2,48,48,48,48
DEV026,1,48,48,48,48
DEV026,2,48,48,48,48
DEV027,1,48,48,48,48
DEV027,2,48,48,48,48
DEV028,1,48,48,48,48
DEV028,2,48,48,48,48
DEV029,1,48,48,48,48
DEV029,2,48,48,48,48
DEV030,1,48,48,48,48
DEV030,2,48,48,48,48
DEV031,1,48,48,48,48
DEV031,2,48,48,48,48
DEV032,1,48,48,48,48
DEV032,2,,,,
DEV033,1,48,48,48,48
DEV033,2,48,48,48,48
DEV034,1,48,48,48,48
DEV034,2,,,,
DEV035,1,48,48,48,48
DEV035,2,48,48,48,48
DEV036,1,48,48,48,48
DEV036,2,48,48,48,48
DEV037,1,48,48,48,48
DEV037,2,,,,
DEV038,1,48,48,48,48
DEV038,2,48,48,48,48
DEV039,1,48,48,48,48
DEV039,2,48,48,48,48
DEV040,1,48,48,48,48
DEV040,2,48,48,48,48
DEV041,1,48,48,48,48
DEV041,2,48,48,48,48
DEV042,1,48,48,48,48
DEV042,2,48,48,48,48
DEV043,1,48,48,48,48
DEV043,2,48,48,48,48
DEV044,1,48,48,48,48
DEV044,2,48,48,48,48
DEV045,1,48,48,48,48
DEV045,2,,,,
DEV046,1,48,48,48,48
