subjectID,wave,run1,run2,run3,run4
DEV001,1,4,4,4,4
DEV001,2,,,,
DEV002,1,4,4,4,4
DEV002,2,,,,
DEV004,1,4,4,4,4
DEV004,2,4,4,4,4
DEV005,1,4,4,4,4
DEV005,2,4,4,4,4
DEV006,1,4,4,4,4
DEV006,2,,,,
DEV007,1,4,4,4,4
DEV007,2,,,,
DEV008,1,4,4,4,4
DEV008,2,4,4,4,4
DEV009,1,4,4,4,4
DEV009,2,4,4,4,4
DEV010,1,4,4,4,4
DEV010,2,4,4,4,4
DEV011,1,4,4,4,4
DEV011,2,4,4,4,4
DEV012,1,4,4,4,4
DEV012,2,4,4,4,4
DEV013,1,4,4,4,4
DEV013,2,4,4,4,4
DEV014,1,4,4,4,4
DEV014,2,4,4,4,4
DEV015,1,4,4,4,4
DEV015,2,4,4,4,4
DEV016,1,4,4,4,4
DEV016,2,4,4,4,4
DEV017,1,4,4,4,4
DEV017,2,4,4,4,4
DEV018,1,4,4,4,4
DEV018,2,4,4,4,4
DEV019,1,4,4,4,4
DEV019,2,4,4,4,4
DEV020,1,4,4,4,4
DEV020,2,4,4,4,4
DEV021,1,4,4,4,4
DEV021,2,4,4,4,4
DEV022,1,4,4,4,4
DEV022,2,,,,
DEV023,1,4,4,4,4
DEV023,2,4,4,4,4
DEV024,1,4,4,4,4
DEV024,2,4,4,4,4
DEV025,1,4,4,4,4
DEV025,2,4,4,4,4
DEV026,1,4,4,4,4
DEV026,2,4,4,4,4
DEV027,1,4,4,4,4
DEV027,2,4,4,4,4
DEV028,1,4,4,4,4
DEV028,2,4,4,4,4
DEV029,1,4,4,4,4
DEV029,2,4,4,4,4
DEV030,1,4,4,4,4
DEV030,2,4,4,4,4
DEV031,1,4,4,4,4
DEV031,2,4,4,4,4
DEV032,1,4,4,4,4
DEV032,2,,,,
DEV033,1,4,4,4,4
DEV033,2,4,4,4,4
DEV034,1,4,4,4,4
DEV034,2,,,,
DEV035,1,4,4,4,4
DEV035,2,4,4,4,4
DEV036,1,4,4,4,4
DEV036,2,4,4,4,4
DEV037,1,4,4,4,4
DEV037,2,,,,
DEV038,1,4,4,4,4
DEV038,2,4,4,4,4
DEV039,1,4,4,4,4
DEV039,2,4,4,4,4
DEV040,1,4,4,4,4
DEV040,2,4,4,4,4
DEV041,1,4,4,4,4
DEV041,2,4,4,4,4
DEV042,1,4,4,4,4
DEV042,2,4,4,4,4
DEV043,1,4,4,4,4
DEV043,2,4,4,4,4
DEV044,1,4,4,4,4
DEV044,2,4,4,4,4
DEV045,1,4,4,4,4
DEV045,2,,,,
DEV046,1,4,4,4,4
DEV046,2,4,4,4,4
DEV047,1,4,4,4,4
DEV047,2,4,4,4,4
DEV048,1,4,4,4,4
DEV048,2,4,4,4,4
DEV049,1,4,4,4,4
DEV049,2,4,4,4,4
DEV050,1,4,4,4,4
DEV050,2,4,4,4,4
DEV051,1,4,4,4,4
DEV051,2,4,4,4,4
DEV052,1,4,4,4,4
DEV052,2,4,4,4,4
DEV053,1,4,4,4,4
DEV053,2,4,4,4,4
DEV054,1,4,4,4,4
DEV054,2,4,4,4,4
DEV055,1,4,4,4,4
DEV055,2,4,4,4,4
DEV056,1,4,4,4,4
DEV056,2,4,4,4,4
DEV057,1,4,4,4,4
DEV057,2,4,4,4,4
DEV058,1,4,4,4,4
DEV058,2,4,4,4,4
DEV059,1,4,4,4,4
DEV059,2,4,4,4,4
DEV060,1,4,4,4,4
DEV060,2,4,4,4,4
DEV061,1,4,4,4,4
DEV061,2,4,4,4,4
DEV062,1,4,4,4,4
DEV062,2,4,4,4,4
DEV063,1,4,4,4,4
DEV063,2,4,4,4,4
DEV064,1,4,4,4,4
DEV064,2,4,4,4,4
DEV065,1,4,4,4,4
DEV065,2,4,4,4,4
DEV066,1,4,4,4,4
DEV066,2,4,4,4,4
DEV067,1,4,4,4,4
DEV067,2,4,4,4,4
DEV068,1,4,4,4,4
DEV068,2,4,4,4,4
DEV069,1,4,4,4,4
DEV069,2,4,4,4,4
DEV070,1,4,4,4,4
DEV070,2,4,4,4,4
DEV071,1,4,4,4,4
DEV071,2,4,4,4,4
DEV072,1,,,,
DEV072,2,4,4,4,4
DEV073,1,4,4,4,4
DEV073,2,4,4,4,4
DEV074,1,4,4,4,4
DEV074,2,4,4,4,4
DEV075,1,4,4,4,4
DEV075,2,4,4,4,4
DEV076,1,4,4,4,4
DEV076,2,4,4,4,4
DEV077,1,4,4,4,4
DEV077,2,4,4,4,
DEV078,1,4,4,4,4
DEV078,2,4,4,4,4
DEV079,1,4,4,4,4
DEV079,2,4,4,4,4
DEV080,1,4,4,4,4
DEV080,2,,,,
DEV081,1,4,4,4,4
DEV081,2,4,4,4,4
DEV082,1,4,4,4,
DEV082,2,,,,
DEV083,1,4,4,4,4
DEV083,2,4,4,4,4
DEV084,1,4,4,4,4
DEV084,2,4,4,4,4
DEV085,1,4,4,4,4
DEV085,2,4,4,4,4
DEV086,1,4,4,4,4
DEV086,2,4,4,4,4
DEV087,1,4,4,4,4
DEV087,2,4,4,4,4
DEV088,1,4,4,4,4
DEV088,2,4,4,4,4
DEV089,1,4,4,4,4
DEV089,2,4,4,4,4
DEV090,1,4,4,4,4
DEV090,2,4,4,4,4
DEV091,1,4,4,4,4
DEV091,2,4,4,4,4
DEV093,1,4,4,4,4
DEV093,2,4,4,4,4
DEV094,1,4,4,4,4
DEV094,2,4,4,4,4
DEV095,1,4,4,4,4
DEV095,2,,,,
DEV096,1,4,4,4,4
DEV096,2,4,4,4,4
DEV097,1,4,4,4,4
DEV097,2,4,4,4,4
DEV098,1,4,4,4,4
DEV098,2,4,4,4,4
DEV099,1,4,4,4,4
DEV099,2,4,4,4,4
DEV100,1,4,4,4,4
DEV100,2,4,4,4,4
DEV101,1,4,4,4,4
DEV101,2,4,4,4,4
DEV102,1,4,4,4,4
DEV102,2,4,4,4,4
DEV103,1,4,4,4,4
DEV103,2,4,4,4,4
DEV104,1,4,4,4,4
DEV104,2,4,4,4,4
DEV105,1,4,4,4,4
DEV105,2,,,,
DEV106,1,4,4,4,4
DEV106,2,,,,
DEV107,1,4,4,4,4
DEV107,2,4,4,4,4
DEV108,1,4,4,4,4
DEV108,2,4,4,4,4
DEV109,1,4,4,4,4
DEV109,2,4,4,4,4
DEV110,1,4,4,4,4
DEV110,2,4,4,4,4
