subjectID,wave,run1,run2,run3,run4
DEV001,1,2,2,2,2
DEV001,2,,,,
DEV002,1,2,2,2,2
DEV002,2,,,,
DEV004,1,2,2,2,2
DEV004,2,2,2,2,2
DEV005,1,2,2,2,2
DEV005,2,2,2,2,2
DEV006,1,2,2,2,2
DEV006,2,,,,
DEV007,1,2,2,2,2
DEV007,2,,,,
DEV008,1,2,2,2,2
DEV008,2,2,2,2,2
DEV009,1,2,2,2,2
DEV009,2,2,2,2,2
DEV010,1,2,2,2,2
DEV010,2,2,2,2,2
DEV011,1,2,2,2,2
DEV011,2,2,2,2,2
DEV012,1,2,2,2,2
DEV012,2,2,2,2,2
DEV013,1,2,2,2,2
DEV013,2,2,2,2,2
DEV014,1,2,2,2,2
DEV014,2,2,2,2,2
DEV015,1,2,2,2,2
DEV015,2,2,2,2,2
DEV016,1,2,2,2,2
DEV016,2,2,2,2,2
DEV017,1,2,2,2,2
DEV017,2,2,2,2,2
DEV018,1,2,2,2,2
DEV018,2,2,2,2,2
DEV019,1,2,2,2,2
DEV019,2,2,2,2,2
DEV020,1,2,2,2,2
DEV020,2,2,2,2,2
DEV021,1,2,2,2,2
DEV021,2,2,2,2,2
DEV022,1,2,2,2,2
DEV022,2,,,,
DEV023,1,2,2,2,2
DEV023,2,2,2,2,2
DEV024,1,2,2,2,2
DEV024,2,2,2,2,2
DEV025,1,2,2,2,2
DEV025,2,2,2,2,2
DEV026,1,2,2,2,2
DEV026,2,2,2,2,2
DEV027,1,2,2,2,2
DEV027,2,2,2,2,2
DEV028,1,2,2,2,2
DEV028,2,2,2,2,2
DEV029,1,2,2,2,2
DEV029,2,2,2,2,2
DEV030,1,2,2,2,2
DEV030,2,2,2,2,2
DEV031,1,2,2,2,2
DEV031,2,2,2,2,2
DEV032,1,2,2,2,2
DEV032,2,,,,
DEV033,1,2,2,2,2
DEV033,2,2,2,2,2
DEV034,1,2,2,2,2
DEV034,2,,,,
DEV035,1,2,2,2,2
DEV035,2,2,2,2,2
DEV036,1,2,2,2,2
DEV036,2,2,2,2,2
DEV037,1,2,2,2,2
DEV037,2,,,,
DEV038,1,2,2,2,2
DEV038,2,2,2,2,2
DEV039,1,2,2,2,2
DEV039,2,2,2,2,2
DEV040,1,2,2,2,2
DEV040,2,2,2,2,2
DEV041,1,2,2,2,2
DEV041,2,2,2,2,2
DEV042,1,2,2,2,2
DEV042,2,2,2,2,2
DEV043,1,2,2,2,2
DEV043,2,2,2,2,2
DEV044,1,2,2,2,2
DEV044,2,2,2,2,2
DEV045,1,2,2,2,2
DEV045,2,,,,
DEV046,1,2,2,2,2
DEV046,2,2,2,2,2
DEV047,1,2,2,2,2
DEV047,2,2,2,2,2
DEV048,1,2,2,2,2
DEV048,2,2,2,2,2
DEV049,1,2,2,2,2
DEV049,2,2,2,2,2
DEV050,1,2,2,2,2
DEV050,2,2,2,2,2
DEV051,1,2,2,2,2
DEV051,2,2,2,2,2
DEV052,1,2,2,2,2
DEV052,2,2,2,2,2
DEV053,1,2,2,2,2
DEV053,2,2,2,2,2
DEV054,1,2,2,2,2
DEV054,2,2,2,2,2
DEV055,1,2,2,2,2
DEV055,2,2,2,2,2
DEV056,1,2,2,2,2
DEV056,2,2,2,2,2
DEV057,1,2,2,2,2
DEV057,2,2,2,2,2
DEV058,1,2,2,2,2
DEV058,2,2,2,2,2
DEV059,1,2,2,2,2
DEV059,2,2,2,2,2
DEV060,1,2,2,2,2
DEV060,2,2,2,2,2
DEV061,1,2,2,2,2
DEV061,2,2,2,2,2
DEV062,1,2,2,2,2
DEV062,2,2,2,2,2
DEV063,1,2,2,2,2
DEV063,2,2,2,2,2
DEV064,1,2,2,2,2
DEV064,2,2,2,2,2
DEV065,1,2,2,2,2
DEV065,2,2,2,2,2
DEV066,1,2,2,2,2
DEV066,2,2,2,2,2
DEV067,1,2,2,2,2
DEV067,2,2,2,2,2
DEV068,1,2,2,2,2
DEV068,2,2,2,2,2
DEV069,1,2,2,2,2
DEV069,2,2,2,2,2
DEV070,1,2,2,2,2
DEV070,2,2,2,2,2
DEV071,1,2,2,2,2
DEV071,2,2,2,2,2
DEV072,1,,,,
DEV072,2,2,2,2,2
DEV073,1,2,2,2,2
DEV073,2,2,2,2,2
DEV074,1,2,2,2,2
DEV074,2,2,2,2,2
DEV075,1,2,2,2,2
DEV075,2,2,2,2,2
DEV076,1,2,2,2,2
DEV076,2,2,2,2,2
DEV077,1,2,2,2,2
DEV077,2,2,2,2,
DEV078,1,2,2,2,2
DEV078,2,2,2,2,2
DEV079,1,2,2,2,2
DEV079,2,2,2,2,2
DEV080,1,2,2,2,2
DEV080,2,,,,
DEV081,1,2,2,2,2
DEV081,2,2,2,2,2
DEV082,1,2,2,2,
DEV082,2,,,,
DEV083,1,2,2,2,2
DEV083,2,2,2,2,2
DEV084,1,2,2,2,2
DEV084,2,2,2,2,2
DEV085,1,2,2,2,2
DEV085,2,2,2,2,2
DEV086,1,2,2,2,2
DEV086,2,2,2,2,2
DEV087,1,2,2,2,2
DEV087,2,2,2,2,2
DEV088,1,2,2,2,2
DEV088,2,2,2,2,2
DEV089,1,2,2,2,2
DEV089,2,2,2,2,2
DEV090,1,2,2,2,2
DEV090,2,2,2,2,2
DEV091,1,2,2,2,2
DEV091,2,2,2,2,2
DEV093,1,2,2,2,2
DEV093,2,2,2,2,2
DEV094,1,2,2,2,2
DEV094,2,2,2,2,2
DEV095,1,2,2,2,2
DEV095,2,,,,
DEV096,1,2,2,2,2
